source_file,part_id,dimension_id,nominal_value,unit,measured_feature,tolerance_type,plus,minus,lower_limit,upper_limit,confidence_score,source_page,requires_human_review
Data\5377630-01-Front_case.pdf,5377630-01-Front_case,D23,193.0,mm,Radius,missing,,,,,0.75225,2,False
Data\5377630-01-Front_case.pdf,5377630-01-Front_case,D24,821.134,mm,Diameter,missing,,,,,0.75225,2,False
Data\5377630-01-Front_case.pdf,5377630-01-Front_case,D25,820.888,mm,Diameter,missing,,,,,0.75225,2,False
Data\5377630-01-Front_case.pdf,5377630-01-Front_case,D26,8.36,mm,Horizontal distance,missing,,,,,0.75225,2,False
Data\5377630-01-Front_case.pdf,5377630-01-Front_case,D27,1.57,mm,Radius,bilateral,0.41,0.41,,,0.986,2,False
Data\5377630-01-Front_case.pdf,5377630-01-Front_case,D28,845.91,mm,Reference Diameter,missing,,,,,0.7819999999999999,2,False
Data\5377630-01-Front_case.pdf,5377630-01-Front_case,D29,830.656,mm,Diameter (AVG),bilateral,0.05,0.05,,,0.9649999999999999,2,False
Data\5377630-01-Front_case.pdf,5377630-01-Front_case,D30,1.14,mm,Chamfer size (X),bilateral,0.13,0.13,,,0.9649999999999999,2,False
Data\5377630-01-Front_case.pdf,5377630-01-Front_case,D31,1.02,mm,Radius,bilateral,0.13,0.13,,,0.986,2,False
Data\5377630-01-Front_case.pdf,5377630-01-Front_case,D32,33.76,mm,Horizontal distance,missing,,,,,0.75225,2,False
Data\5377630-01-Front_case.pdf,5377630-01-Front_case,D33,54.31,mm,Reference horizontal distance,missing,,,,,0.75225,2,False
Data\5377630-01-Front_case.pdf,5377630-01-Front_case,D1,887.25,mm,Clearance envelope diameter,bilateral,0.25,0.25,,,0.9649999999999999,1,False
Data\5377630-01-Front_case.pdf,5377630-01-Front_case,D2,831.67,mm,Clearance envelope diameter,bilateral,0.25,0.25,,,0.9649999999999999,1,False
Data\5377630-01-Front_case.pdf,5377630-01-Front_case,D1,8.71,mm,Diameter of 75 holes,bilateral,0.13,0.054,,,0.9649999999999999,4,False
Data\5377630-01-Front_case.pdf,5377630-01-Front_case,D2,28.45,degree,Offset hole angle,missing,,,,,0.7224999999999999,4,False
Data\5377630-01-Front_case.pdf,5377630-01-Front_case,D3,868.617,mm,Pitch Circle Diameter for HOLE DG,missing,,,,,0.7819999999999999,4,False
Data\5377630-01-Front_case.pdf,5377630-01-Front_case,D4,868.83,mm,Pitch Circle Diameter for HOLE DH,missing,,,,,0.7819999999999999,4,False
Data\5377630-01-Front_case.pdf,5377630-01-Front_case,D5,7.53,mm,Diameter of HOLE DH,bilateral,0.01,0.01,,,0.9649999999999999,4,False
Data\5377630-01-Front_case.pdf,5377630-01-Front_case,D6,1.4,mm,Step height for HOLE DH,bilateral,0.17,0.09,,,0.9649999999999999,4,False
Data\5377630-01-Front_case.pdf,5377630-01-Front_case,D7,10.67,mm,Counterbore diameter for HOLE DH,missing,,,,,0.75225,4,False
Data\5377630-01-Front_case.pdf,5377630-01-Front_case,D8,0.17,mm,Radius for HOLE DH feature,bilateral,0.09,0.09,,,0.9299999999999999,4,False
Data\5377630-01-Front_case.pdf,5377630-01-Front_case,D9,32.06,mm,Radius R32.06,missing,,,,,0.75225,4,False
Data\5377630-01-Front_case.pdf,5377630-01-Front_case,D10,20.93,mm,Radius R20.93,missing,,,,,0.75225,4,False
Data\5377630-01-Front_case.pdf,5377630-01-Front_case,D11,45.64,mm,Radius R45.64,missing,,,,,0.75225,4,False
Data\5377630-01-Front_case.pdf,5377630-01-Front_case,D12,8.71,mm,Hole diameter from Section DF-DF,missing,,,,,0.69275,4,True
Data\5377630-01-Front_case.pdf,5377630-01-Front_case,D13,470.64,mm,Large outer radius,missing,,,,,0.75225,4,False
Data\5377630-01-Front_case.pdf,5377630-01-Front_case,D14,484.22,mm,Large radius R484.22 from Detail DE,missing,,,,,0.75225,4,False
Data\5377630-01-Front_case.pdf,5377630-01-Front_case,D15,459.5,mm,Large radius R459.5 from Detail DE,missing,,,,,0.75225,4,False
Data\5377630-01-Front_case.pdf,5377630-01-Front_case,D16,31.2,degree,Angle from Datum E (Detail DE),missing,,,,,0.75225,4,False
Data\5377630-01-Front_case.pdf,5377630-01-Front_case,D17,26.4,degree,Angle from Datum E (Detail DE),missing,,,,,0.75225,4,False
Data\5377630-01-Front_case.pdf,5377630-01-Front_case,D18,128.49,mm,Offset hole distance,missing,,,,,0.7224999999999999,4,False
Data\5377630-01-Front_case.pdf,5377630-01-Front_case,D19,0.397,mm,Offset hole distance,missing,,,,,0.7224999999999999,4,False
Data\5377630-01-Front_case.pdf,5377630-01-Front_case,D20,0.0,mm,Height above flange (0 MIN NO POSITIVE ALLOWED),limit,,,,0.0,0.3125,4,True
Data\5377630-01-Front_case.pdf,5377630-01-Front_case,D20A,29.15,degree,Reference angle for offset hole,missing,,,,,0.7224999999999999,4,False
Data\5377630-01-Front_case.pdf,5377630-01-Front_case,D21,17.15,degree,Angle position from Table 3 for DA,missing,,,,,0.75225,4,False
Data\5377630-01-Front_case.pdf,5377630-01-Front_case,D22,55.55,degree,Angle position from Table 3 for DA,missing,,,,,0.75225,4,False
Data\5377630-01-Front_case.pdf,5377630-01-Front_case,D23,98.75,degree,Angle position from Table 3 for DA,missing,,,,,0.75225,4,False
Data\5377630-01-Front_case.pdf,5377630-01-Front_case,D24,141.95,degree,Angle position from Table 3 for DA,missing,,,,,0.75225,4,False
Data\5377630-01-Front_case.pdf,5377630-01-Front_case,D25,185.15,degree,Angle position from Table 3 for DA,missing,,,,,0.75225,4,False
Data\5377630-01-Front_case.pdf,5377630-01-Front_case,D26,228.35,degree,Angle position from Table 3 for DA,missing,,,,,0.75225,4,False
Data\5377630-01-Front_case.pdf,5377630-01-Front_case,D27,271.55,degree,Angle position from Table 3 for DA,missing,,,,,0.75225,4,False
Data\5377630-01-Front_case.pdf,5377630-01-Front_case,D28,309.95,degree,Angle position from Table 3 for DA,missing,,,,,0.75225,4,False
Data\5377630-01-Front_case.pdf,5377630-01-Front_case,D29,343.55,degree,Angle position from Table 3 for DA,missing,,,,,0.75225,4,False
Data\5377630-01-Front_case.pdf,5377630-01-Front_case,D30,2.05,degree,Angle position from Table 4 for DD,missing,,,,,0.75225,4,False
Data\5377630-01-Front_case.pdf,5377630-01-Front_case,D31,7.35,degree,Angle position from Table 4 for DD,missing,,,,,0.75225,4,False
Data\5377630-01-Front_case.pdf,5377630-01-Front_case,D32,12.65,degree,Angle position from Table 4 for DD,missing,,,,,0.75225,4,False
Data\5377630-01-Front_case.pdf,5377630-01-Front_case,D33,17.95,degree,Angle position from Table 4 for DD,missing,,,,,0.75225,4,False
Data\5377630-01-Front_case.pdf,5377630-01-Front_case,D34,23.25,degree,Angle position from Table 4 for DD,missing,,,,,0.75225,4,False
Data\5377630-01-Front_case.pdf,5377630-01-Front_case,D35,28.55,degree,Angle position from Table 4 for DD,missing,,,,,0.75225,4,False
Data\5377630-01-Front_case.pdf,5377630-01-Front_case,D36,33.85,degree,Angle position from Table 4 for DD,missing,,,,,0.75225,4,False
Data\5377630-01-Front_case.pdf,5377630-01-Front_case,D37,39.15,degree,Angle position from Table 4 for DD,missing,,,,,0.75225,4,False
Data\5377630-01-Front_case.pdf,5377630-01-Front_case,D38,44.45,degree,Angle position from Table 4 for DD,missing,,,,,0.75225,4,False
Data\5377630-01-Front_case.pdf,5377630-01-Front_case,D39,49.75,degree,Angle position from Table 4 for DD,missing,,,,,0.75225,4,False
Data\5377630-01-Front_case.pdf,5377630-01-Front_case,D40,55.05,degree,Angle position from Table 4 for DD,missing,,,,,0.75225,4,False
Data\5377630-01-Front_case.pdf,5377630-01-Front_case,D41,60.35,degree,Angle position from Table 4 for DD,missing,,,,,0.75225,4,False
Data\5377630-01-Front_case.pdf,5377630-01-Front_case,D42,65.65,degree,Angle position from Table 4 for DD,missing,,,,,0.75225,4,False
Data\5377630-01-Front_case.pdf,5377630-01-Front_case,D43,70.95,degree,Angle position from Table 4 for DD,missing,,,,,0.75225,4,False
Data\5377630-01-Front_case.pdf,5377630-01-Front_case,D44,76.25,degree,Angle position from Table 4 for DD,missing,,,,,0.75225,4,False
Data\5377630-01-Front_case.pdf,5377630-01-Front_case,D45,81.55,degree,Angle position from Table 4 for DD,missing,,,,,0.75225,4,False
Data\5377630-01-Front_case.pdf,5377630-01-Front_case,D46,86.85,degree,Angle position from Table 4 for DD,missing,,,,,0.75225,4,False
Data\5377630-01-Front_case.pdf,5377630-01-Front_case,D47,92.15,degree,Angle position from Table 4 for DD,missing,,,,,0.75225,4,False
Data\5377630-01-Front_case.pdf,5377630-01-Front_case,D48,132.35,degree,Angle position from Table 4 for DD,missing,,,,,0.75225,4,False
Data\5377630-01-Front_case.pdf,5377630-01-Front_case,D49,137.65,degree,Angle position from Table 4 for DD,missing,,,,,0.75225,4,False
Data\5377630-01-Front_case.pdf,5377630-01-Front_case,D50,142.95,degree,Angle position from Table 4 for DD,missing,,,,,0.75225,4,False
Data\5377630-01-Front_case.pdf,5377630-01-Front_case,D51,148.25,degree,Angle position from Table 4 for DD,missing,,,,,0.75225,4,False
Data\5377630-01-Front_case.pdf,5377630-01-Front_case,D52,153.55,degree,Angle position from Table 4 for DD,missing,,,,,0.75225,4,False
Data\5377630-01-Front_case.pdf,5377630-01-Front_case,D53,158.85,degree,Angle position from Table 4 for DD,missing,,,,,0.75225,4,False
Data\5377630-01-Front_case.pdf,5377630-01-Front_case,D54,164.15,degree,Angle position from Table 4 for DD,missing,,,,,0.75225,4,False
Data\5377630-01-Front_case.pdf,5377630-01-Front_case,D55,169.45,degree,Angle position from Table 4 for DD,missing,,,,,0.75225,4,False
Data\5377630-01-Front_case.pdf,5377630-01-Front_case,D56,174.75,degree,Angle position from Table 4 for DD,missing,,,,,0.75225,4,False
Data\5377630-01-Front_case.pdf,5377630-01-Front_case,D57,180.05,degree,Angle position from Table 4 for DD,missing,,,,,0.75225,4,False
Data\5377630-01-Front_case.pdf,5377630-01-Front_case,D58,185.35,degree,Angle position from Table 4 for DD,missing,,,,,0.75225,4,False
Data\5377630-01-Front_case.pdf,5377630-01-Front_case,D59,190.65,degree,Angle position from Table 4 for DD,missing,,,,,0.75225,4,False
Data\5377630-01-Front_case.pdf,5377630-01-Front_case,D60,195.95,degree,Angle position from Table 4 for DD,missing,,,,,0.75225,4,False
Data\5377630-01-Front_case.pdf,5377630-01-Front_case,D61,201.25,degree,Angle position from Table 4 for DD,missing,,,,,0.75225,4,False
Data\5377630-01-Front_case.pdf,5377630-01-Front_case,D62,206.55,degree,Angle position from Table 4 for DD,missing,,,,,0.75225,4,False
Data\5377630-01-Front_case.pdf,5377630-01-Front_case,D63,211.85,degree,Angle position from Table 4 for DD,missing,,,,,0.75225,4,False
Data\5377630-01-Front_case.pdf,5377630-01-Front_case,D64,217.15,degree,Angle position from Table 4 for DD,missing,,,,,0.75225,4,False
Data\5377630-01-Front_case.pdf,5377630-01-Front_case,D65,222.45,degree,Angle position from Table 4 for DD,missing,,,,,0.75225,4,False
Data\5377630-01-Front_case.pdf,5377630-01-Front_case,D66,252.35,degree,Angle position from Table 4 for DD,missing,,,,,0.75225,4,False
Data\5377630-01-Front_case.pdf,5377630-01-Front_case,D67,257.65,degree,Angle position from Table 4 for DD,missing,,,,,0.75225,4,False
Data\5377630-01-Front_case.pdf,5377630-01-Front_case,D68,262.95,degree,Angle position from Table 4 for DD,missing,,,,,0.75225,4,False
Data\5377630-01-Front_case.pdf,5377630-01-Front_case,D69,268.25,degree,Angle position from Table 4 for DD,missing,,,,,0.75225,4,False
Data\5377630-01-Front_case.pdf,5377630-01-Front_case,D70,273.55,degree,Angle position from Table 4 for DD,missing,,,,,0.75225,4,False
Data\5377630-01-Front_case.pdf,5377630-01-Front_case,D71,278.85,degree,Angle position from Table 4 for DD,missing,,,,,0.75225,4,False
Data\5377630-01-Front_case.pdf,5377630-01-Front_case,D72,284.15,degree,Angle position from Table 4 for DD,missing,,,,,0.75225,4,False
Data\5377630-01-Front_case.pdf,5377630-01-Front_case,D73,289.45,degree,Angle position from Table 4 for DD,missing,,,,,0.75225,4,False
Data\5377630-01-Front_case.pdf,5377630-01-Front_case,D74,294.75,degree,Angle position from Table 4 for DD,missing,,,,,0.75225,4,False
Data\5377630-01-Front_case.pdf,5377630-01-Front_case,D75,300.05,degree,Angle position from Table 4 for DD,missing,,,,,0.75225,4,False
Data\5377630-01-Front_case.pdf,5377630-01-Front_case,D76,305.35,degree,Angle position from Table 4 for DD,missing,,,,,0.75225,4,False
Data\5377630-01-Front_case.pdf,5377630-01-Front_case,D77,310.65,degree,Angle position from Table 4 for DD,missing,,,,,0.75225,4,False
Data\5377630-01-Front_case.pdf,5377630-01-Front_case,D78,315.95,degree,Angle position from Table 4 for DD,missing,,,,,0.75225,4,False
Data\5377630-01-Front_case.pdf,5377630-01-Front_case,D79,321.25,degree,Angle position from Table 4 for DD,missing,,,,,0.75225,4,False
Data\5377630-01-Front_case.pdf,5377630-01-Front_case,D80,326.55,degree,Angle position from Table 4 for DD,missing,,,,,0.75225,4,False
Data\5377630-01-Front_case.pdf,5377630-01-Front_case,D81,331.85,degree,Angle position from Table 4 for DD,missing,,,,,0.75225,4,False
Data\5377630-01-Front_case.pdf,5377630-01-Front_case,D82,337.15,degree,Angle position from Table 4 for DD,missing,,,,,0.75225,4,False
Data\5377630-01-Front_case.pdf,5377630-01-Front_case,D83,342.45,degree,Angle position from Table 4 for DD,missing,,,,,0.75225,4,False
Data\5377630-01-Front_case.pdf,part,D1,10.31,mm,hole diameter,bilateral,0.13,0.13,,,0.986,3,False
Data\5377630-01-Front_case.pdf,part,D2,1.4,mm,length/thickness,bilateral,0.13,0.13,,,0.9789999999999999,3,False
Data\5377630-01-Front_case.pdf,part,D3,0.3,mm,radius,bilateral,0.13,0.13,,,0.986,3,False
Data\5377630-01-Front_case.pdf,part,D4,1.6,mm,minimum thickness,unilateral,,,1.6,,0.407,3,True
Data\5377630-01-Front_case.pdf,part,D5,9.93,mm,diameter,bilateral,0.13,0.13,,,0.986,3,False
Data\5377630-01-Front_case.pdf,part,D6,0.1,mm,minimum length/thickness,unilateral,,,0.1,,0.407,3,True
Data\5377630-01-Front_case.pdf,part,D7,45.0,degrees,angle,bilateral,5.0,5.0,,,0.986,3,False
Data\5377630-01-Front_case.pdf,part,D8,6.3,mm,hole diameter,bilateral,0.02,0.02,,,0.9929999999999999,3,False
Data\5377630-01-Front_case.pdf,part,D9,0.76,mm,thickness/step,missing,,,,,0.75225,3,False
Data\5377630-01-Front_case.pdf,part,D10,0.3,mm,radius,bilateral,0.13,0.13,,,0.986,3,False
Data\5377630-01-Front_case.pdf,part,D11,7.92,mm,diameter,missing,,,,,0.75225,3,False
Data\5377630-01-Front_case.pdf,part,D12,7.62,mm,length/thickness,bilateral,0.13,0.13,,,0.986,3,False
Data\5377630-01-Front_case.pdf,part,D13,10.31,mm,diameter,missing,,,,,0.75225,3,False
Data\5377630-01-Front_case.pdf,part,D14,19.35,mm,diameter,missing,,,,,0.75225,3,False
Data\5377630-01-Front_case.pdf,part,D15,1.27,mm,corner radius,bilateral,0.13,0.13,,,0.986,3,False
Data\5377630-01-Front_case.pdf,part,D16,867.283,mm,outer diameter,missing,,,,,0.7819999999999999,3,False
Data\5377630-01-Front_case.pdf,part,D17,90.0,degrees,angle,missing,,,,,0.75225,3,False
Data\5377630-01-Front_case.pdf,part,D18,180.0,degrees,angle,missing,,,,,0.75225,3,False
Data\5377630-01-Front_case.pdf,part,D19,168.0,degrees,angle,missing,,,,,0.75225,3,False
Data\5377630-01-Front_case.pdf,part,D20,96.0,degrees,angle,missing,,,,,0.75225,3,False
Data\5377630-01-Front_case.pdf,part,D21,32.0,count,number of equally spaced holes,missing,,,,,0.7819999999999999,3,False
Data\5377630-01-Front_case.pdf,part,D22,29.0,count,number of equally spaced holes,missing,,,,,0.7819999999999999,3,False
Data\5377630-01-Front_case.pdf,part,D23,61.0,count,total number of holes,missing,,,,,0.7819999999999999,3,False
Data\5377630-01-Front_case.pdf,part,D24,11.613,degrees,angular position,missing,,,,,0.7819999999999999,3,False
Data\5377630-01-Front_case.pdf,part,D25,34.839,degrees,angular position,missing,,,,,0.7819999999999999,3,False
Data\5377630-01-Front_case.pdf,part,D26,58.065,degrees,angular position,missing,,,,,0.7819999999999999,3,False
Data\5377630-01-Front_case.pdf,part,D27,81.29,degrees,angular position,missing,,,,,0.7819999999999999,3,False
Data\5377630-01-Front_case.pdf,part,D28,99.0,degrees,angular position,missing,,,,,0.7819999999999999,3,False
Data\5377630-01-Front_case.pdf,part,D29,129.0,degrees,angular position,missing,,,,,0.7819999999999999,3,False
Data\5377630-01-Front_case.pdf,part,D30,147.0,degrees,angular position,missing,,,,,0.7819999999999999,3,False
Data\5377630-01-Front_case.pdf,part,D31,177.0,degrees,angular position,missing,,,,,0.7819999999999999,3,False
Data\5377630-01-Front_case.pdf,part,D32,189.0,degrees,angular position,missing,,,,,0.7819999999999999,3,False
Data\5377630-01-Front_case.pdf,part,D33,237.0,degrees,angular position,missing,,,,,0.7819999999999999,3,False
Data\5377630-01-Front_case.pdf,part,D34,261.0,degrees,angular position,missing,,,,,0.7819999999999999,3,False
Data\5377630-01-Front_case.pdf,part,D35,278.71,degrees,angular position,missing,,,,,0.7819999999999999,3,False
Data\5377630-01-Front_case.pdf,part,D36,307.742,degrees,angular position,missing,,,,,0.7819999999999999,3,False
Data\5377630-01-Front_case.pdf,part,D37,325.161,degrees,angular position,missing,,,,,0.7819999999999999,3,False
Data\5377630-01-Front_case.pdf,5377630,D1,52.197,mm,reference length,missing,,,,,0.7819999999999999,5,False
Data\5377630-01-Front_case.pdf,5377630,D2,5.45,mm,diameter,bilateral,0.5,0.5,,,0.986,5,False
Data\5377630-01-Front_case.pdf,5377630,D3,2.19,mm,length,bilateral,0.6,0.6,,,0.986,5,False
Data\5377630-01-Front_case.pdf,5377630,D4,65.0,mm,overall length,bilateral,0.13,0.13,,,0.986,5,False
Data\5377630-01-Front_case.pdf,5377630,D5,52.197,mm,reference length,missing,,,,,0.7819999999999999,5,False
Data\5377630-01-Front_case.pdf,5377630,D6,13.84,mm,hole diameter,bilateral,0.025,0.025,,,0.986,5,False
Data\5377630-01-Front_case.pdf,5377630,D7,1.0,mm,fillet radius all around,missing,,,,,0.7819999999999999,5,False
Data\5377630-01-Front_case.pdf,5377630,D8,1.5,mm,length/thickness,missing,,,,,0.7819999999999999,5,False
Data\5377630-01-Front_case.pdf,5377630,D9,5.57,mm,length,bilateral,0.13,0.13,,,0.986,5,False
Data\5377630-01-Front_case.pdf,5377630,D10,0.8,mm,radius,bilateral,0.13,0.13,,,0.986,5,False
Data\5377630-01-Front_case.pdf,5377630,D11,8.28,mm,hole diameter,bilateral,0.2,0.2,,,0.986,5,False
Data\5377630-01-Front_case.pdf,5377630,D12,10.5,mm,radius,missing,,,,,0.7819999999999999,5,False
Data\5377630-01-Front_case.pdf,5377630,D13,4.17,mm,hole diameter,bilateral,0.13,0.13,,,0.986,5,False
Data\5377630-01-Front_case.pdf,5377630,D14,5.0,mm,radius both sides,bilateral,0.13,0.13,,,0.986,5,False
Data\5377630-01-Front_case.pdf,5377630,D15,2.5,mm,radius both sides,missing,,,,,0.7819999999999999,5,False
Data\5377630-01-Front_case.pdf,5377630,D16,422.14,mm,distance from axis A,bilateral,0.13,0.13,,,0.986,5,False
Data\5377630-01-Front_case.pdf,5377630,D17,7.24,mm,length both sides,bilateral,0.13,0.13,,,0.986,5,False
Data\5377630-01-Front_case.pdf,5377630,D18,2.41,mm,basic length/thickness,missing,,,,,0.7819999999999999,5,False
Data\5377630-01-Front_case.pdf,5377630,D19,14.5,mm,basic length both sides,missing,,,,,0.7819999999999999,5,False
Data\5377630-01-Front_case.pdf,5377630,D20,5.2,mm,radius both sides,bilateral,0.13,0.13,,,0.986,5,False
Data\5377630-01-Front_case.pdf,5377630,D21,11.5,mm,length,missing,,,,,0.7819999999999999,5,False
Data\5377630-01-Front_case.pdf,5377630,D22,10.5,mm,length both sides,bilateral,0.25,0.25,,,0.986,5,False
Data\5377630-01-Front_case.pdf,5377630,D23a,0.51,mm,chamfer length,bilateral,0.13,0.13,,,0.986,5,False
Data\5377630-01-Front_case.pdf,5377630,D23b,0.51,mm,chamfer depth,bilateral,0.13,0.13,,,0.986,5,False
Data\5377630-01-Front_case.pdf,5377630,D24a,1.02,mm,chamfer length,bilateral,0.13,0.13,,,0.986,5,False
Data\5377630-01-Front_case.pdf,5377630,D24b,1.02,mm,chamfer depth,bilateral,0.13,0.13,,,0.986,5,False
Data\5377630-01-Front_case.pdf,5377630,D25,23.21,mm,length/depth,missing,,,,,0.7819999999999999,5,False
Data\5377630-01-Front_case.pdf,5377630,D26a,0.51,mm,chamfer length,missing,,,,,0.75225,5,False
Data\5377630-01-Front_case.pdf,5377630,D26b,0.51,mm,chamfer depth,missing,,,,,0.75225,5,False
Data\5377630-01-Front_case.pdf,5377630,D27,1.0,mm,reference radius,missing,,,,,0.7819999999999999,5,False
Data\5377630-01-Front_case.pdf,5377630,D28,100.0,degree,angle both sides,missing,,,,,0.7819999999999999,5,False
Data\5377630-01-Front_case.pdf,5377630,D29,1.59,mm,minimum length both sides,limit,,,,,0.4105,5,True
Data\5377630-01-Front_case.pdf,5377630-01,D1,10.0,deg,angle of cutout in section GB-GB,missing,,,,,0.7819999999999999,7,False
Data\5377630-01-Front_case.pdf,5377630-01,D2,89.4,mm,overall width in section GA-GA,missing,,,,,0.7819999999999999,7,False
Data\5377630-01-Front_case.pdf,5377630-01,D3,65.73,mm,internal width in section GA-GA,missing,,,,,0.7819999999999999,7,False
Data\5377630-01-Front_case.pdf,5377630-01,D4,3.18,mm,top fillet radius in section GA-GA,missing,,,,,0.7819999999999999,7,False
Data\5377630-01-Front_case.pdf,5377630-01,D5,1.57,mm,internal fillet radius in section GA-GA,missing,,,,,0.7819999999999999,7,False
Data\5377630-01-Front_case.pdf,5377630-01,D6,845.91,mm,inner diameter (reference),missing,,,,,0.7819999999999999,7,False
Data\5377630-01-Front_case.pdf,5377630-01,D7,847.49,mm,outer diameter,missing,,,,,0.7819999999999999,7,False
Data\5377630-01-Front_case.pdf,5377630-01,D8,462.955,mm,large arc radius,missing,,,,,0.7819999999999999,7,False
Data\5377630-01-Front_case.pdf,5377630-01,D9,40.0,mm,small arc radius,missing,,,,,0.7819999999999999,7,False
Data\5377630-01-Front_case.pdf,5377630-01,D10,1.485,deg,angular position from Table 5 (GD),missing,,,,,0.75225,7,False
Data\5377630-01-Front_case.pdf,5377630-01,D11,42.13,deg,angular position from Table 5 (GD),missing,,,,,0.75225,7,False
Data\5377630-01-Front_case.pdf,5377630-01,D12,76.969,deg,angular position from Table 5 (GD),missing,,,,,0.75225,7,False
Data\5377630-01-Front_case.pdf,5377630-01,D13,130.872,deg,angular position from Table 5 (GD),missing,,,,,0.75225,7,False
Data\5377630-01-Front_case.pdf,5377630-01,D14,178.872,deg,angular position from Table 5 (GD),missing,,,,,0.75225,7,False
Data\5377630-01-Front_case.pdf,5377630-01,D15,226.872,deg,angular position from Table 5 (GD),missing,,,,,0.75225,7,False
Data\5377630-01-Front_case.pdf,5377630-01,D16,268.582,deg,angular position from Table 5 (GD),missing,,,,,0.75225,7,False
Data\5377630-01-Front_case.pdf,5377630-01,D17,320.88,deg,angular position from Table 5 (GD),missing,,,,,0.75225,7,False
Data\5377630-01-Front_case.pdf,5377630-01,D18,21.75,deg,angular position from Table 5 (GE),missing,,,,,0.75225,7,False
Data\5377630-01-Front_case.pdf,5377630-01,D19,62.395,deg,angular position from Table 5 (GE),missing,,,,,0.75225,7,False
Data\5377630-01-Front_case.pdf,5377630-01,D20,97.234,deg,angular position from Table 5 (GE),missing,,,,,0.75225,7,False
Data\5377630-01-Front_case.pdf,5377630-01,D21,151.137,deg,angular position from Table 5 (GE),missing,,,,,0.75225,7,False
Data\5377630-01-Front_case.pdf,5377630-01,D22,199.137,deg,angular position from Table 5 (GE),missing,,,,,0.75225,7,False
Data\5377630-01-Front_case.pdf,5377630-01,D23,247.137,deg,angular position from Table 5 (GE),missing,,,,,0.75225,7,False
Data\5377630-01-Front_case.pdf,5377630-01,D24,288.846,deg,angular position from Table 5 (GE),missing,,,,,0.75225,7,False
Data\5377630-01-Front_case.pdf,5377630-01,D25,341.105,deg,angular position from Table 5 (GE),missing,,,,,0.75225,7,False
Data\5377630-01-Front_case.pdf,5377630-01-Front_case,D1,174.1935,degrees,Arc angle,missing,,,,,0.7819999999999999,6,False
Data\5377630-01-Front_case.pdf,5377630-01-Front_case,D2,6.35,mm,Corner radius,missing,,,,,0.75225,6,False
